Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,7347.700195,7347.700195,7158.500000,7233.299805,7233.299805,966343100
2022-05-13,7233.299805,7422.000000,7233.299805,7418.200195,7418.200195,871946000
2022-05-16,7418.200195,7464.799805,7361.700195,7464.799805,7464.799805,814978400
2022-05-17,7464.799805,7538.700195,7464.799805,7518.399902,7518.399902,821412200
2022-05-18,7518.399902,7526.100098,7438.100098,7438.100098,7438.100098,830397600
2022-05-19,7438.100098,7438.100098,7228.700195,7302.700195,7302.700195,1037438100
2022-05-20,7302.700195,7453.500000,7302.700195,7390.000000,7390.000000,790841400
2022-05-23,7390.000000,7513.399902,7390.000000,7513.399902,7513.399902,819767300
2022-05-24,7513.399902,7529.700195,7434.500000,7484.399902,7484.399902,1113802600
2022-05-25,7484.399902,7546.399902,7484.399902,7522.799805,7522.799805,898078000
2022-05-26,7522.799805,7575.500000,7512.500000,7564.899902,7564.899902,709669900
2022-05-27,7564.899902,7597.600098,7542.799805,7585.500000,7585.500000,713185000
2022-05-30,7585.500000,7625.600098,7576.399902,7600.100098,7600.100098,1009169800
2022-05-31,7600.100098,7648.299805,7591.799805,7607.700195,7607.700195,1620576000
2022-06-01,7607.700195,7639.200195,7529.200195,7533.000000,7533.000000,734829800
2022-06-06,7533.000000,7646.700195,7532.799805,7608.200195,7608.200195,696171700
2022-06-07,7608.200195,7617.500000,7570.700195,7598.899902,7598.899902,750124500
2022-06-08,7598.899902,7616.200195,7550.700195,7593.000000,7593.000000,776478300
2022-06-09,7593.000000,7593.000000,7472.299805,7476.200195,7476.200195,771939100
2022-06-10,7476.200195,7476.200195,7294.200195,7317.500000,7317.500000,911375600
2022-06-13,7317.500000,7317.500000,7174.000000,7205.799805,7205.799805,980090400
2022-06-14,7205.799805,7271.899902,7135.200195,7187.500000,7187.500000,864847700
2022-06-15,7187.500000,7313.700195,7186.500000,7273.399902,7273.399902,1089092800
2022-06-16,7273.399902,7273.399902,7039.500000,7045.000000,7045.000000,1162889200
2022-06-17,7045.000000,7130.600098,6998.200195,7016.299805,7016.299805,1908921300
2022-06-20,7016.299805,7129.600098,7016.200195,7121.799805,7121.799805,666757200
2022-06-21,7121.799805,7193.899902,7119.299805,7152.100098,7152.100098,580244500
2022-06-22,7152.100098,7152.100098,7030.000000,7089.200195,7089.200195,1204359700
2022-06-23,7089.200195,7115.799805,7014.200195,7020.500000,7020.500000,763870700
2022-06-24,7020.500000,7211.100098,7016.000000,7208.799805,7208.799805,772223900
2022-06-27,7208.799805,7284.500000,7208.500000,7258.299805,7258.299805,802411400
2022-06-28,7258.299805,7362.399902,7258.299805,7323.399902,7323.399902,735789800
2022-06-29,7323.399902,7345.500000,7263.500000,7312.299805,7312.299805,718640800
2022-06-30,7312.299805,7312.299805,7110.700195,7169.299805,7169.299805,903650800
